Energy l=0 l=1 l=2 l=3 l=4 l=5 l=6 l=7 l=8 l=9 l=10
33.58500 -2.68930 -1.31139 -0.12966 0.84905 1.61379 2.14791 2.41795 2.25114 0.86554 0.28502 0.14334
33.83000 -2.70948 -1.33104 -0.14822 0.83218 1.59931 2.13661 2.41111 2.25605 0.89071 0.29105 0.14585
34.07500 -2.72957 -1.35060 -0.16670 0.81538 1.58486 2.12532 2.40421 2.26052 0.91629 0.29721 0.14839
34.32000 -2.74957 -1.37008 -0.18511 0.79863 1.57044 2.11403 2.39727 2.26459 0.94224 0.30349 0.15097
34.56500 -2.76948 -1.38947 -0.20344 0.78194 1.55606 2.10275 2.39028 2.26827 0.96853 0.30989 0.15358
34.81000 -2.78929 -1.40877 -0.22170 0.76531 1.54172 2.09147 2.38325 2.27158 0.99510 0.31643 0.15622
35.05500 -2.80902 -1.42799 -0.23988 0.74874 1.52742 2.08020 2.37617 2.27455 1.02192 0.32309 0.15890
35.30000 -2.82865 -1.44712 -0.25799 0.73223 1.51315 2.06893 2.36906 2.27718 1.04894 0.32989 0.16161
35.54500 -2.84820 -1.46617 -0.27603 0.71578 1.49891 2.05767 2.36190 2.27951 1.07611 0.33683 0.16436
35.79000 -2.86766 -1.48514 -0.29399 0.69938 1.48472 2.04641 2.35471 2.28153 1.10338 0.34390 0.16714
36.03500 -2.88704 -1.50403 -0.31188 0.68304 1.47055 2.03517 2.34747 2.28327 1.13070 0.35112 0.16996
36.28000 -2.90633 -1.52284 -0.32970 0.66676 1.45642 2.02393 2.34021 2.28474 1.15801 0.35849 0.17282
36.52500 -2.92554 -1.54157 -0.34745 0.65053 1.44233 2.01269 2.33290 2.28595 1.18525 0.36600 0.17571
36.77000 -2.94467 -1.56022 -0.36513 0.63436 1.42827 2.00147 2.32556 2.28691 1.21239 0.37367 0.17864
37.01500 -2.96372 -1.57880 -0.38274 0.61824 1.41425 1.99025 2.31819 2.28764 1.23935 0.38149 0.18162
37.26000 -2.98268 -1.59729 -0.40029 0.60218 1.40026 1.97904 2.31079 2.28815 1.26610 0.38947 0.18463
37.50500 -3.00156 -1.61571 -0.41777 0.58617 1.38631 1.96784 2.30336 2.28843 1.29258 0.39761 0.18768
37.75000 -3.02037 -1.63406 -0.43518 0.57021 1.37239 1.95665 2.29589 2.28852 1.31875 0.40591 0.19077
37.99500 -3.03910 -1.65233 -0.45252 0.55431 1.35851 1.94546 2.28840 2.28840 1.34456 0.41438 0.19390
38.24000 -3.05774 -1.67053 -0.46980 0.53846 1.34466 1.93429 2.28088 2.28809 1.36997 0.42302 0.19707
38.48500 -3.07632 -1.68866 -0.48701 0.52266 1.33084 1.92312 2.27333 2.28761 1.39495 0.43184 0.20029
38.73000 -3.09481 -1.70671 -0.50416 0.50691 1.31706 1.91197 2.26575 2.28695 1.41946 0.44083 0.20355
38.97500 -3.11324 -1.72469 -0.52125 0.49122 1.30331 1.90083 2.25815 2.28612 1.44347 0.44999 0.20685
39.22000 -3.13158 -1.74260 -0.53827 0.47557 1.28959 1.88969 2.25053 2.28513 1.46696 0.45934 0.21020
39.46500 -3.14986 -1.76045 -0.55523 0.45998 1.27591 1.87857 2.24288 2.28398 1.48990 0.46888 0.21359
39.71000 -3.16806 -1.77822 -0.57213 0.44443 1.26227 1.86745 2.23520 2.28269 1.51228 0.47860 0.21703
39.95500 -3.18619 -1.79592 -0.58897 0.42894 1.24865 1.85635 2.22751 2.28125 1.53408 0.48851 0.22051
40.20000 -3.20425 -1.81356 -0.60574 0.41350 1.23507 1.84526 2.21979 2.27967 1.55529 0.49861 0.22404
40.44500 -3.22223 -1.83113 -0.62246 0.39810 1.22152 1.83418 2.21205 2.27796 1.57590 0.50890 0.22762
40.69000 -3.24015 -1.84863 -0.63912 0.38275 1.20801 1.82311 2.20429 2.27612 1.59590 0.51939 0.23124
40.93500 -3.25800 -1.86607 -0.65572 0.36745 1.19452 1.81205 2.19651 2.27416 1.61529 0.53008 0.23492
41.18000 -3.27578 -1.88344 -0.67226 0.35220 1.18107 1.80101 2.18871 2.27208 1.63408 0.54097 0.23864
41.42500 -3.29349 -1.90075 -0.68874 0.33700 1.16765 1.78998 2.18090 2.26988 1.65226 0.55206 0.24242
41.67000 -3.31114 -1.91799 -0.70516 0.32184 1.15427 1.77895 2.17306 2.26758 1.66984 0.56335 0.24624
41.91500 -3.32872 -1.93517 -0.72153 0.30673 1.14091 1.76794 2.16521 2.26516 1.68682 0.57484 0.25012
42.16000 -3.34623 -1.95229 -0.73784 0.29167 1.12759 1.75695 2.15734 2.26264 1.70321 0.58653 0.25405
42.40500 -3.36368 -1.96935 -0.75410 0.27665 1.11430 1.74596 2.14946 2.26002 1.71902 0.59844 0.25804
42.65000 -3.38106 -1.98634 -0.77030 0.26168 1.10104 1.73499 2.14156 2.25730 1.73427 0.61054 0.26208
42.89500 -3.39838 -2.00327 -0.78645 0.24675 1.08782 1.72403 2.13364 2.25448 1.74895 0.62285 0.26617
43.14000 -3.41564 -2.02015 -0.80254 0.23187 1.07462 1.71308 2.12571 2.25158 1.76309 0.63536 0.27032
43.38500 -3.43283 -2.03696 -0.81857 0.21703 1.06145 1.70214 2.11777 2.24858 1.77669 0.64808 0.27453
43.63000 -3.44996 -2.05371 -0.83456 0.20223 1.04832 1.69122 2.10981 2.24550 1.78977 0.66099 0.27880
43.87500 -3.46703 -2.07041 -0.85049 0.18748 1.03522 1.68031 2.10184 2.24234 1.80233 0.67411 0.28312
44.12000 -3.48404 -2.08704 -0.86637 0.17278 1.02215 1.66942 2.09386 2.23909 1.81441 0.68742 0.28750
44.36500 -3.50099 -2.10362 -0.88219 0.15812 1.00910 1.65853 2.08587 2.23577 1.82600 0.70093 0.29195
44.61000 -3.51788 -2.12014 -0.89797 0.14350 0.99609 1.64766 2.07786 2.23237 1.83712 0.71463 0.29645
44.85500 -3.53471 -2.13661 -0.91369 0.12892 0.98311 1.63681 2.06984 2.22890 1.84778 0.72852 0.30102
45.10000 -3.55148 -2.15302 -0.92936 0.11438 0.97016 1.62597 2.06182 2.22535 1.85801 0.74259 0.30565
45.34500 -3.56819 -2.16937 -0.94499 0.09989 0.95724 1.61514 2.05378 2.22174 1.86781 0.75683 0.31035
45.59000 -3.58484 -2.18567 -0.96056 0.08544 0.94435 1.60432 2.04573 2.21805 1.87719 0.77126 0.31511
45.83500 -3.60144 -2.20191 -0.97608 0.07103 0.93149 1.59352 2.03767 2.21431 1.88617 0.78585 0.31993
46.08000 -3.61798 -2.21810 -0.99156 0.05666 0.91865 1.58273 2.02960 2.21049 1.89476 0.80060 0.32482
46.32500 -3.63447 -2.23423 -1.00698 0.04233 0.90585 1.57195 2.02153 2.20662 1.90297 0.81551 0.32978
46.57000 -3.65089 -2.25032 -1.02236 0.02804 0.89308 1.56119 2.01345 2.20268 1.91082 0.83057 0.33481
46.81500 -3.66727 -2.26634 -1.03769 0.01379 0.88033 1.55045 2.00535 2.19869 1.91831 0.84576 0.33991
47.06000 -3.68359 -2.28232 -1.05297 -0.00042 0.86762 1.53971 1.99725 2.19464 1.92547 0.86109 0.34507
47.30500 -3.69985 -2.29825 -1.06820 -0.01458 0.85493 1.52899 1.98915 2.19053 1.93229 0.87654 0.35031
47.55000 -3.71606 -2.31412 -1.08339 -0.02871 0.84227 1.51829 1.98103 2.18637 1.93879 0.89210 0.35562
47.79500 -3.73222 -2.32994 -1.09853 -0.04280 0.82964 1.50760 1.97291 2.18216 1.94499 0.90777 0.36101
48.04000 -3.74832 -2.34571 -1.11363 -0.05686 0.81704 1.49692 1.96478 2.17789 1.95088 0.92353 0.36647
48.28500 -3.76438 -2.36144 -1.12868 -0.07087 0.80447 1.48626 1.95665 2.17358 1.95649 0.93937 0.37200
48.53000 -3.78038 -2.37711 -1.14368 -0.08484 0.79192 1.47561 1.94851 2.16921 1.96182 0.95529 0.37761
48.77500 -3.79632 -2.39273 -1.15864 -0.09878 0.77941 1.46497 1.94037 2.16480 1.96687 0.97126 0.38329
49.02000 -3.81222 -2.40830 -1.17356 -0.11268 0.76692 1.45435 1.93222 2.16034 1.97167 0.98729 0.38906
49.26500 -3.82807 -2.42383 -1.18843 -0.12654 0.75445 1.44374 1.92406 2.15584 1.97621 1.00335 0.39490
49.51000 -3.84387 -2.43930 -1.20325 -0.14037 0.74202 1.43315 1.91591 2.15129 1.98051 1.01943 0.40082
49.75500 -3.85961 -2.45473 -1.21804 -0.15416 0.72961 1.42257 1.90774 2.14670 1.98457 1.03553 0.40682
50.00000 -3.87531 -2.47012 -1.23278 -0.16791 0.71723 1.41201 1.89957 2.14207 1.98840 1.05162 0.41290
